qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.17           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.17           1              1                   CT.QCD                                                               -60171.2327 +-          3.2988
0.17           1              1                   RT.QCD                                                                64925.7654 +-          4.8339

0.17           2              0.5                 NLO.QT.32                                                             19818.0651 +-          4.4890
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.17           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.17           2              0.5                 CT.QCD                                                               -41909.5480 +-          2.3061
0.17           2              0.5                 RT.QCD                                                                45667.0222 +-          3.4246

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.18           0.5            2                   NLO.QT.32                                                             28756.5648 +-          8.7917
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.18           0.5            2                   VT.QCD                                                                22587.7679 +-          2.4916
0.18           0.5            2                   CT.QCD                                                               -86585.0645 +-          4.7519
0.18           0.5            2                   RT.QCD                                                                92753.8615 +-          6.9645

0.18           1              1                   NLO.QT.32                                                             23997.9325 +-          6.1665
