#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
            277      38.410581     0.23259646      31.481408     0.18901939      48.086851     0.31298904
            278      37.447514     0.22878895      30.645133     0.18420625      46.948714     0.30456379
            279      37.143841     0.23306488       30.48997     0.21984477      46.394778     0.39874748
            280      37.019723     0.22835726      30.287363     0.18376493      46.434656     0.30507934
            281      36.891176     0.22712784       30.18748     0.18282841      46.251518     0.30170608
            282      36.309418     0.22601469      29.758862     0.18212359      45.438633     0.30065677
            283      35.825291      0.2240018      29.333253     0.18041082      44.880148     0.29669635
            284      35.724994     0.22344906      29.194135     0.17956561      44.868215     0.29564958
            285      35.459287     0.22522458      29.019342     0.18139111      44.467828     0.30072542
            286       35.10129     0.22150558      28.746314     0.17804681      43.967971     0.29341759
            287      34.790191     0.22037096      28.462287      0.1770771      43.643115     0.29100106
            288      34.266214     0.21910164      28.058121     0.17651677      42.933309     0.29061284
            289      34.141668     0.21858348      27.906039     0.17545802      42.864694      0.2889214
            290      33.488472     0.21834304      27.414708     0.17550331       41.97809     0.29097059
            291      33.342884     0.21597394       27.37825     0.18186917      41.615985      0.3094631
            292      33.191227      0.2147189      27.128603     0.17263321      41.690631      0.2833807
            293      33.246005     0.21570892      27.264438     0.17532792      41.573965     0.28904682
            294      32.699778     0.21458566      26.787541     0.17264485      40.944074     0.28465735
            295      32.706704     0.21407681      26.797713     0.17227416      40.951605     0.28343689
            296      32.302432      0.2123099       26.48394     0.17385449      40.404786     0.28953069
            297      31.604155     0.21010337      25.913963     0.16992714      39.524669     0.27937164
            298      31.291816      0.2082525      25.581722     0.16740612      39.311096      0.2742734
            299      31.117314     0.20897695      25.499749     0.16835111      38.953441     0.27689168
            300      31.118422     0.20920757      25.540229     0.16932053      38.877161     0.27933806
            301      30.737111     0.20684788      25.203649     0.16661495      38.457389     0.27278954
            302      30.108519     0.20567102      24.708316     0.16602392      37.599357     0.27356964
            303       30.57184     0.20668419      25.045127     0.16640959      38.288328      0.2725801
            304      30.060302     0.20429887      24.656109     0.16575644      37.602812      0.2714129
            305      30.146029     0.20556305      24.701156      0.1657265      37.732154     0.27263005
            306      29.395907     0.20216374      24.104995     0.16370666      36.761127     0.26938853
            307      29.367475     0.20299577      24.117004     0.16445415      36.669178     0.26946194
            308      29.030547     0.20168231      23.809989     0.16248503      36.304087     0.26595182
            309      29.274286     0.20410935      24.056893     0.16459981      36.530669     0.26950571
            310      28.495153     0.19886522      23.360948     0.16088778      35.657812     0.26450107
            311      28.279669     0.20089052      23.178491     0.16163669      35.399004     0.26438305
            312      28.341995     0.20328845      23.246522     0.16393744      35.434522     0.27037346
            313       27.98934     0.19722771      22.953721     0.15913518      35.002718     0.25959698
            314      27.457829     0.19667506      22.526396     0.15838657      34.314492     0.26060811
            315       27.70708     0.19686621      22.786697     0.16034564      34.531688     0.26365401
            316      27.275313     0.19483084      22.381677     0.15725121      34.081789     0.25624484
            317      26.889951     0.19856196      22.040125     0.15974298      33.650991     0.26445065
            318      26.853632     0.19323657      22.074364     0.15826062      33.486576     0.25908601
            319      26.570199     0.20107665      21.846226     0.16135083      33.123325     0.26858692
            320      26.258928     0.19096592       21.57176     0.15488359      32.773291     0.25269955
            321      26.159211     0.19149678      21.465341     0.15444935      32.693197     0.25285406
            322      25.565464     0.18946423      20.979632     0.15248751      31.963531     0.24871266
            323      25.880919     0.19000262       21.29385     0.16774861      32.233429     0.28260618
            324      25.368265     0.18985873      20.841443     0.15329056      31.663552      0.2505516
            325      25.185985     0.18770847      20.707465     0.15191328      31.406389     0.24768532
            326      25.062841     0.18827523      20.610965     0.15253573      31.230218     0.24835684
            327       25.12289     0.19204975      20.641346     0.15499944      31.350018     0.25351822
            328      24.719114     0.18598564      20.298773     0.15001649      30.881227     0.24442714
            329      24.865173     0.18675939      20.433368     0.15147818      31.021603     0.24621334
            330      24.258465     0.18538039      19.942372     0.15027238      30.253658     0.24510682
            331      24.451815     0.18516184      20.074991      0.1498312      30.549509     0.24381282
            332      23.917967     0.18270456      19.740595     0.15089006      29.664972     0.24841427
            333      23.901869     0.18258512       19.67681     0.14785015      29.746267     0.23999521
            334      23.901237     0.18263795      19.708408     0.15496324      29.685491       0.255884
            335      23.195175     0.17919264      19.049876     0.14486308      28.966269     0.23420181
            336      23.212373     0.18001991      19.105536     0.14562472      28.910015     0.23573883
            337      22.993513     0.18112895      18.885579     0.14630268      28.700427      0.2384884
            338      23.148602     0.17985505      19.031208     0.14619714      28.865886     0.23880119
            339      22.873101     0.17918708       18.78117     0.14680298      28.570133     0.24016265
            340       22.45412     0.17718604        18.4507     0.14382192      28.023438     0.23453307
            341      22.340479     0.17593741      18.398233     0.14380365      27.808011     0.23309768
            342      22.275945       0.177541      18.336322     0.14366618      27.741527     0.23252738
            343      22.430922     0.17742355       18.45971     0.14377605      27.935408     0.23344142
            344      21.752081     0.17407662      17.952248      0.1579724      26.988029     0.27136319
            345      21.294338     0.17615485         17.544     0.14228257      26.488222     0.23275183
            346      21.494922     0.17405329      17.691563     0.14103875      26.774127     0.22969906
            347      21.551709      0.1729539      17.747926     0.14195013      26.810665     0.23059812
            348      21.534485     0.20904447      17.710432     0.16418103      26.841066     0.28302341
            349      21.123041     0.17176721      17.400295     0.13909645      26.263075     0.22528859
            350      21.349968     0.17374828      17.592161     0.14117749      26.546081     0.22997084
            351      20.739371     0.17115527      17.057263     0.13837447      25.854382     0.22526378
            352      20.465246     0.16900358      16.858094     0.13772531      25.459398      0.2231388
            353      20.557346     0.16951459      16.918992     0.13717658      25.597293     0.22210689
            354      20.430601     0.17175696       16.84929     0.13888992      25.375899     0.22627463
            355      19.860678      0.1694442      16.366686      0.1373715      24.698318     0.22413158
            356      20.064608     0.16671537      16.534083     0.13520432      24.940568      0.2176778
            357      19.943137     0.16682595      16.450776     0.13616853      24.765174     0.22031529
            358      19.772088     0.16595338      16.316698     0.13589446       24.54282     0.21987089
            359      19.340385     0.16353276       15.93916     0.13301171      24.045286     0.21347425
            360      19.457533     0.16534303      16.014348     0.13414948      24.229677     0.21733639
            361      19.392138     0.16452393      15.986626      0.1336254      24.107442     0.21538225
            362      19.206519     0.16346999      15.863794     0.13335258      23.819678     0.21551283
            363      19.026743     0.16397503      15.669197     0.13256592      23.688495     0.21422184
            364      19.068515     0.16443505      15.707805     0.13321447      23.722219     0.21554772
            365      18.720132     0.17715907      15.441606     0.14181622        23.2627     0.23532883
            366      18.542264     0.16072189      15.257222     0.12979515      23.093122     0.21003167
            367      18.480256     0.16018734      15.217862     0.12994496      22.999945     0.20918359
            368       18.44836     0.16038203      15.216615     0.13018202      22.917309     0.20902342
            369       18.18699     0.15992704      14.997785      0.1295108      22.598856      0.2095478
            370      17.970543     0.15782606      14.869054     0.12982925      22.236054      0.2099654
            371      18.066158     0.15990723      14.897907      0.1302493      22.445619     0.21086107
            372      17.601182     0.15709211      14.492314     0.12684969      21.888404     0.20541831
            373      17.594984     0.15672961      14.528118     0.12730223      21.832741     0.20519937
            374      17.544208     0.15599971      14.479365     0.12795025      21.755118     0.20531524
            375      17.316818     0.15599775      14.255668     0.12626454      21.535701     0.20292214
            376        17.3888     0.15774137      14.384488     0.12819556      21.517926     0.20694598
            377      16.984953     0.15343903      13.995778     0.12484646      21.087132      0.2012356
            378       17.03543     0.15338226      14.009551     0.12431041      21.197749     0.19990851
            379      17.023088     0.15388136      14.039881     0.12533641      21.106236     0.20126685
            380      16.862531     0.15406445        13.9076     0.12537052       20.91562     0.20198192
            381      16.662285     0.15329672      13.744928     0.12443845      20.657366     0.20056658
            382      16.483518     0.15110958      13.545475     0.12216845       20.50041     0.19612095
            383      16.535833     0.15219995       13.66086     0.12546104      20.462127     0.20327806
            384       16.24547     0.15115982      13.382176     0.12202833      20.143612     0.19711771
