qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)
0.13           2              0.5                 NLO.QT.32                                                            19806.92158 +-         4.65416

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.14           0.5            2                   NLO.QCD.QT                                                           28729.14977 +-         9.14432
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.14           0.5            2                   ..a00                                                                         0. +-              0.
0.14           0.5            2                   NLO.QT.32                                                            28729.14977 +-         9.14432

0.14           1              1                   NLO.QCD.QT                                                           23979.57047 +-         6.39692
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.14           1              1                   ..a00                                                                         0. +-              0.
0.14           1              1                   NLO.QT.32                                                            23979.57047 +-         6.39692

0.14           2              0.5                 NLO.QCD.QT                                                           19809.40531 +-         4.60781
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.14           2              0.5                 ..a00                                                                         0. +-              0.
0.14           2              0.5                 NLO.QT.32                                                            19809.40531 +-         4.60781

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.15           0.5            2                   NLO.QCD.QT                                                           28734.77066 +-         9.04641
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.15           0.5            2                   ..a00                                                                         0. +-              0.
0.15           0.5            2                   NLO.QT.32                                                            28734.77066 +-         9.04641

0.15           1              1                   NLO.QCD.QT                                                           23983.34947 +-         6.33291
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.15           1              1                   ..a00                                                                         0. +-              0.
0.15           1              1                   NLO.QT.32                                                            23983.34947 +-         6.33291

0.15           2              0.5                 NLO.QCD.QT                                                           19811.97745 +-         4.56523
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.15           2              0.5                 ..a00                                                                         0. +-              0.
0.15           2              0.5                 NLO.QT.32                                                            19811.97745 +-         4.56523

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.16           0.5            2                   NLO.QCD.QT                                                           28741.97370 +-         8.95557
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.16           0.5            2                   ..a00                                                                         0. +-              0.
0.16           0.5            2                   NLO.QT.32                                                            28741.97370 +-         8.95557

0.16           1              1                   NLO.QCD.QT                                                           23988.12737 +-         6.27352
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.16           1              1                   ..a00                                                                         0. +-              0.
0.16           1              1                   NLO.QT.32                                                            23988.12737 +-         6.27352

0.16           2              0.5                 NLO.QCD.QT                                                           19815.18901 +-         4.52573
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.16           2              0.5                 ..a00                                                                         0. +-              0.
0.16           2              0.5                 NLO.QT.32                                                            19815.18901 +-         4.52573

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.17           0.5            2                   NLO.QCD.QT                                                           28748.32971 +-         8.87090
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.17           0.5            2                   ..a00                                                                         0. +-              0.
0.17           0.5            2                   NLO.QT.32                                                            28748.32971 +-         8.87090

0.17           1              1                   NLO.QCD.QT                                                           23992.37596 +-         6.21822
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.17           1              1                   ..a00                                                                         0. +-              0.
0.17           1              1                   NLO.QT.32                                                            23992.37596 +-         6.21822

0.17           2              0.5                 NLO.QCD.QT                                                           19818.06515 +-         4.48900
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.17           2              0.5                 ..a00                                                                         0. +-              0.
0.17           2              0.5                 NLO.QT.32                                                            19818.06515 +-         4.48900

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.18           0.5            2                   NLO.QCD.QT                                                           28756.56480 +-         8.79165
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.18           0.5            2                   ..a00                                                                         0. +-              0.
0.18           0.5            2                   NLO.QT.32                                                            28756.56480 +-         8.79165

0.18           1              1                   NLO.QCD.QT                                                           23997.93247 +-         6.16647
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.18           1              1                   ..a00                                                                         0. +-              0.
0.18           1              1                   NLO.QT.32                                                            23997.93247 +-         6.16647

0.18           2              0.5                 NLO.QCD.QT                                                           19821.87254 +-         4.45462
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.18           2              0.5                 ..a00                                                                         0. +-              0.
0.18           2              0.5                 NLO.QT.32                                                            19821.87254 +-         4.45462

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.19           0.5            2                   NLO.QCD.QT                                                           28762.96608 +-         8.71722
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.19           0.5            2                   ..a00                                                                         0. +-              0.
0.19           0.5            2                   NLO.QT.32                                                            28762.96608 +-         8.71722

0.19           1              1                   NLO.QCD.QT                                                           24002.11194 +-         6.11790
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.19           1              1                   ..a00                                                                         0. +-              0.
0.19           1              1                   NLO.QT.32                                                            24002.11194 +-         6.11790

0.19           2              0.5                 NLO.QCD.QT                                                           19824.62457 +-         4.42238
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.19           2              0.5                 ..a00                                                                         0. +-              0.
0.19           2              0.5                 NLO.QT.32                                                            19824.62457 +-         4.42238

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.2            0.5            2                   NLO.QCD.QT                                                           28770.38441 +-         8.64704
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.2            0.5            2                   ..a00                                                                         0. +-              0.
0.2            0.5            2                   NLO.QT.32                                                            28770.38441 +-         8.64704

0.2            1              1                   NLO.QCD.QT                                                           24006.94743 +-         6.07212
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.2            1              1                   ..a00                                                                         0. +-              0.
0.2            1              1                   NLO.QT.32                                                            24006.94743 +-         6.07212

0.2            2              0.5                 NLO.QCD.QT                                                           19827.80356 +-         4.39201
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.2            2              0.5                 ..a00                                                                         0. +-              0.
0.2            2              0.5                 NLO.QT.32                                                            19827.80356 +-         4.39201

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.21           0.5            2                   NLO.QCD.QT                                                           28777.07728 +-         8.58069
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.21           0.5            2                   ..a00                                                                         0. +-              0.
0.21           0.5            2                   NLO.QT.32                                                            28777.07728 +-         8.58069

0.21           1              1                   NLO.QCD.QT                                                           24011.31832 +-         6.02886
