qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.11           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.11           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.11           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.11           2              0.5                 dNNLO.QCD                                                            21301.57717 +-        16.77878
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           2              0.5                 NNLO.QT-CS.42            woVT2                                        5401.01480 +-         8.74589
0.11           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.11           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.11           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.11           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.12           0.5            2                   dNNLO.QCD                                                            25355.67556 +-        38.41919
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           0.5            2                   NNLO.QT-CS.42            woVT2                                        7231.85790 +-        18.13165
0.12           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.12           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.12           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.12           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.12           1              1                   dNNLO.QCD                                                            23570.45206 +-        24.66006
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           1              1                   NNLO.QT-CS.42            woVT2                                        6247.06813 +-        12.19631
0.12           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.12           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.12           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.12           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.12           2              0.5                 dNNLO.QCD                                                            21298.00808 +-        16.75024
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           2              0.5                 NNLO.QT-CS.42            woVT2                                        5397.44571 +-         8.69102
0.12           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.12           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.12           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.12           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.13           0.5            2                   dNNLO.QCD                                                            25351.88887 +-        38.06421
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           0.5            2                   NNLO.QT-CS.42            woVT2                                        7228.07122 +-        17.36683
