#   m_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
            309      12.929962     0.14404736      10.385513      0.1159677      16.454574     0.18406776
            310      12.743951     0.14253063      10.250414     0.11491869       16.19603     0.18201896
            311      12.768975     0.14744555      10.253013     0.11838071      16.257349     0.18901926
            312      12.547613     0.14130474      10.079676     0.11378613      15.966934     0.18063031
            313      12.543664     0.14708699       10.07586     0.11822848      15.963761     0.18816253
            314       12.53922     0.14137839      10.053726     0.11363003      15.989132     0.18114577
            315      12.417504       0.140805      9.9583931     0.11321941      15.829352     0.18023416
            316      12.329952     0.14034837      9.9021644     0.11297836      15.694096     0.17969761
            317       12.35197     0.15748413      9.8979007     0.12571907      15.758017     0.20271621
            318      12.133045      0.1403537      9.7107466     0.11245114      15.499823     0.18031717
            319      12.199922     0.13967196      9.7855983     0.11231908      15.548701     0.17875332
            320      11.901051     0.13996896       9.533535     0.11226022      15.188156     0.17954883
            321      11.807397     0.13776836      9.4717459     0.11081961      15.047292     0.17650471
            322      11.712198     0.13635019      9.3910639     0.10963079      14.933373     0.17455238
            323      11.916199     0.13830785      9.5271887     0.11081887      15.239062     0.17765292
            324      11.704342     0.13720524      9.3818829     0.11076161      14.928827     0.17654333
            325      11.462535     0.13560454      9.1666938     0.10868341      14.656659     0.17419518
            326      11.500111     0.13839185      9.2004812     0.11098638      14.697256     0.17760004
            327       11.42633     0.13469671      9.1413883     0.10804451      14.603259     0.17283389
            328      11.458632     0.13521792      9.1527311     0.10827166      14.667722     0.17377961
            329      11.268496     0.13481844      9.0235852     0.10820256      14.387897      0.1729078
            330      11.174598     0.13347765      8.9375527     0.10705649      14.285011     0.17136106
            331      10.866655     0.13265424      8.6849268     0.10621282      13.900628     0.17050118
            332      10.839124      0.1309916      8.6565659     0.10492884      13.876534     0.16832314
            333      10.967919     0.13205165      8.7485994     0.10562942       14.06104     0.16994941
            334      10.798363     0.13183387      8.6354774     0.10565956      13.807539     0.16970145
            335      10.792234     0.13188263      8.6422268     0.10880748      13.779549     0.17438616
            336      10.717255     0.13082904      8.5538582     0.10469569      13.731509     0.16839306
            337      10.339359     0.12831621      8.2572375     0.10275481      13.238585     0.16502936
