           bin (m_Wbb)   qTcut           order/list                                                                 dsigma +-            error

       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.25            dNNLO.QCD                                                              1165.35151 +-          4.86505
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.25            NNLO.QT-CS.42                 woVT2                                           -4.37444 +-          2.78853
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.5             dNNLO.QCD                                                              1163.18261 +-          4.69388
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.5             NNLO.QT-CS.42                 woVT2                                           -6.54335 +-          2.47784
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

===================================================================================================================================================

       150         160   extrapolation   dNNLO.QCD                                                                   1000.73157 +-          6.33394
---------------------------------------------------------------------------------------------------------------------------------------------------
       150         160   extrapolation   NNLO.QT-CS.42                 woVT2                                           52.27563 +-          5.05385
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    38.29768 +-          0.10034
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            419.83351 +-          0.48437
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            665.62956 +-          3.62290
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -175.30480 +-          1.09876

       150         160   0.01            dNNLO.QCD                                                              1003.16488 +-          7.86369
---------------------------------------------------------------------------------------------------------------------------------------------------
       150         160   0.01            NNLO.QT-CS.42                 woVT2                                           54.70894 +-          6.87461
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    38.29768 +-          0.10034
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            419.83351 +-          0.48437
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            665.62956 +-          3.62290
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -175.30480 +-          1.09876

       150         160   0.05            dNNLO.QCD                                                              994.755607 +-         5.219125
---------------------------------------------------------------------------------------------------------------------------------------------------
       150         160   0.05            NNLO.QT-CS.42                 woVT2                                          46.299662 +-         3.558353
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   38.297679 +-         0.100337
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           419.833509 +-         0.484375
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           665.629557 +-         3.622903
       150         160   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -175.304801 +-         1.098764

       150         160   0.1             dNNLO.QCD                                                              998.387783 +-         4.833195
---------------------------------------------------------------------------------------------------------------------------------------------------
