             bin (y_W)   qTcut           order/list                                                                 dsigma +-            error

      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            2.8566776 +-        0.0335045
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            5.2386195 +-        0.2851020
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -0.6364490 +-        0.0462766

      -4.6        -4.5   0.2             dNNLO.QCD                                                              16.1505134 +-        0.4132002
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   0.2             NNLO.QT-CS.42                 woVT2                                          8.3937560 +-        0.2934463
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.2979093 +-        0.0087422
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            2.8566776 +-        0.0335045
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            5.2386195 +-        0.2851020
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -0.6364490 +-        0.0462766

      -4.6        -4.5   0.25            dNNLO.QCD                                                              15.8411570 +-        0.3402603
---------------------------------------------------------------------------------------------------------------------------------------------------
